"C - I am looking to purchase a new family plan.
CS - Sounds great, what kind of plan are you looking for? 
C - I need a voice plan only.","SELECT dim_product.product_key, dim_product.name, dim_product.description, dim_product.product_type, dim_product.product_category FROM dim_product WHERE dim_product.name = 'family plan' and dim_product.product_category = 'voice plans'"
"C - I would like to purchase a new voice plan.
CS - I can help you find the right plan, is this just for you?
C - No, do you have family voice plans available?","SELECT dim_product.product_key, dim_product.name, dim_product.description, dim_product.product_type, dim_product.product_category FROM dim_product WHERE dim_product.name = 'family plan' and dim_product.product_category = 'voice plans'"
"C - I need a new family plan. Do you guys sell family plans?
CS - Sure, what kind of service are you looking to buy?
C - I need a voice plan.","SELECT dim_product.product_key, dim_product.name, dim_product.description, dim_product.product_type, dim_product.product_category FROM dim_product WHERE dim_product.name = 'family plan' and dim_product.product_category = 'voice plans'"
"C - I am looking to switch to your service.
CS - That's great we would love to bring you on board. What service are you interested in?
C - I would like a voice plan.
CS - Ok great, we have many different voice plans. How many people do you need on the plan?
C - My whole family needs to be on it, do you have plans that cover entire families?","SELECT dim_product.product_key, dim_product.name, dim_product.description, dim_product.product_type, dim_product.product_category FROM dim_product WHERE dim_product.name = 'family plan' and dim_product.product_category = 'voice plans'"
C - I want to get a family voice plan. Do you guys sell plans in that category?,"SELECT dim_product.product_key, dim_product.name, dim_product.description, dim_product.product_type, dim_product.product_category FROM dim_product WHERE dim_product.name = 'family plan' and dim_product.product_category = 'voice plans'"
"C - I need to go to a store for help immediately. Which store is in my area?
CS - I can search for the one closest to you. Where are you located?
C - I'm located in San Francisco.","SELECT dim_store.store_name, dim_store.city FROM dim_store WHERE dim_store.city = 'San Francisco'"
C - I need to go into one of the retail locations. Can you tell me of any San Francisco stores?,"SELECT dim_store.store_name, dim_store.city FROM dim_store WHERE dim_store.city = 'San Francisco'"
"C - I need to find the store closest to me
CS - Sure, what city or town are you located in? I can find stores in that area.
C - I'm in San Francisco
CS - You said San Francisco right?
C - Yes, San Francisco.","SELECT dim_store.store_name, dim_store.city FROM dim_store WHERE dim_store.city = 'San Francisco'"
"C - Which stores are there near me?
CS - Let me find that for you. Where are you located?
C - In San Francisco.
CS - Sorry, I missed that, which city are you located in?
C - San Francisco.
CS - Ah okay, San Francisco. Let me look.","SELECT dim_store.store_name, dim_store.city FROM dim_store WHERE dim_store.city = 'San Francisco'"
"C - I need to visit a store tomorrow. Which one can I go to?
CS - Let me look that up for you. What city do you live in?
C - I live in San Francisco.","SELECT dim_store.store_name, dim_store.city FROM dim_store WHERE dim_store.city = 'San Francisco'"
"C - How many retail locations do you guys have?
CS - Which city are you referring to?
C - In San Francisco?
CS - I'd just like to confirm, you said San Francisco, correct?
C - Yeah, San Francisco, California.",SELECT COUNT(DISTINCT(dim_store.store_number)) FROM dim_store WHERE dim_store.city = 'San Francisco'
"C - I want to know you retail location count.
CS - Sure are you looking for a particular area?
C - How many are there in San Francisco?",SELECT COUNT(DISTINCT(dim_store.store_number)) FROM dim_store WHERE dim_store.city = 'San Francisco'
"C - How many stores are there in my area?
CS - Which area are you in?
C - I'm in San Francisco.",SELECT COUNT(DISTINCT(dim_store.store_number)) FROM dim_store WHERE dim_store.city = 'San Francisco'
"C - I'd like to know the number of stores that are nearby.
CS - I can find that, just let me know where you live.
C - I live in San Francisco.",SELECT COUNT(DISTINCT(dim_store.store_number)) FROM dim_store WHERE dim_store.city = 'San Francisco'
